date,avg_vol30,vol30_dispersion,avg_pairwise_corr,port_vol30,vix,regime_id,regime_name,regime_name_smoothed
2024-07-26,0.4262520844605721,0.1793395229873871,0.2642847001086183,0.2476349292952545,16.39,0.0,Low,Low
2024-07-29,0.4177004781281687,0.1728427815735433,0.2658773080353062,0.2476307634275253,16.6,0.0,Low,Low
2024-07-30,0.4068498175949798,0.1821888300206223,0.2631276364067841,0.252297969500717,17.69,0.0,Low,Low
2024-07-31,0.4251622120300183,0.197017361745277,0.2661651112564586,0.2625196794140501,16.36,1.0,Normal,Low
2024-08-01,0.437991334116728,0.2054206404358846,0.2687620595521049,0.2749832564888133,18.59,1.0,Normal,Low
2024-08-02,0.4753092975699292,0.2243531506218915,0.2854682164075611,0.306261946724891,23.39,1.0,Normal,Normal
2024-08-05,0.5078271018411715,0.243963698345351,0.306250273911735,0.338763409551233,38.57,2.0,Elevated,Normal
2024-08-06,0.5089143528709723,0.2477311741874715,0.3069231315550801,0.3381634223621543,27.71,1.0,Normal,Normal
2024-08-07,0.5083478176945055,0.2484780927226569,0.3071189518421955,0.3362378895018962,27.85,1.0,Normal,Normal
2024-08-08,0.5370291828263496,0.2699292190402177,0.3289715786504708,0.376856267359506,23.79,1.0,Normal,Normal
2024-08-09,0.5339288524637312,0.2691773481463537,0.3273498660637853,0.3735898326302889,20.37,1.0,Normal,Normal
2024-08-12,0.533210431613881,0.2718480335739523,0.327601680351087,0.3734003674790536,20.71,1.0,Normal,Normal
2024-08-13,0.5369480995319631,0.2733547487428181,0.332457574765815,0.3790829412477065,18.12,1.0,Normal,Normal
2024-08-14,0.5327399108525361,0.2698826650446513,0.3328369788103059,0.3758972111541802,16.19,1.0,Normal,Normal
2024-08-15,0.5362043707664462,0.265236876065883,0.3372746757759062,0.381878512650857,15.23,1.0,Normal,Normal
2024-08-16,0.5278181495718699,0.2619450032760532,0.3378994446482093,0.3819027500729992,14.8,1.0,Normal,Normal
2024-08-19,0.5287115928260049,0.2600531243519438,0.3400278405350228,0.3853204017430021,14.65,1.0,Normal,Normal
2024-08-20,0.5270736718280025,0.2600385094719852,0.3388035496285407,0.3852347068980376,15.88,1.0,Normal,Normal
2024-08-21,0.5260907043519857,0.2615507121300284,0.3329960237734305,0.384993294043116,16.27,1.0,Normal,Normal
2024-08-22,0.5210910417094556,0.2628025410644867,0.330178855434975,0.381673300223189,17.55,1.0,Normal,Normal
2024-08-23,0.5253595794420168,0.2674905917354612,0.3330328340605878,0.387837333498062,15.86,1.0,Normal,Normal
2024-08-26,0.5118754723904019,0.2512652368841783,0.331099517806127,0.3811291997423554,16.15,1.0,Normal,Normal
2024-08-27,0.515865135566108,0.2559044632579432,0.3316299182807752,0.3816768333640475,15.43,1.0,Normal,Normal
2024-08-28,0.5022680208604839,0.2536220798102334,0.3311572613176972,0.3707814824406216,17.11,1.0,Normal,Normal
2024-08-29,0.5021924147015807,0.2558054500730046,0.329541248903838,0.3707447633219529,15.65,1.0,Normal,Normal
2024-08-30,0.5043663950865936,0.2571687530654638,0.3288076907261336,0.3744995994104353,15.0,1.0,Normal,Normal
2024-09-03,0.513588808993333,0.260421031253655,0.3467009504582395,0.3854455095306783,20.72,1.0,Normal,Normal
2024-09-04,0.5144641233160399,0.2628778718220393,0.3533266271123855,0.3863335361217921,21.32,1.0,Normal,Normal
2024-09-05,0.4944883264485832,0.2642078790468666,0.3635964312478141,0.3689992652575227,19.9,1.0,Normal,Normal
2024-09-06,0.5037117905363966,0.2680888248207448,0.3790802300660236,0.380405470010336,22.38,1.0,Normal,Normal
2024-09-09,0.5062036330818711,0.2726931409660614,0.3722348346916455,0.382801732733002,19.45,1.0,Normal,Normal
2024-09-10,0.5166768784044077,0.2668665766240226,0.3740580818930049,0.3876873201942784,19.08,1.0,Normal,Normal
2024-09-11,0.5183891139160438,0.2669720988827332,0.3751888825458765,0.3891348527599131,17.69,1.0,Normal,Normal
2024-09-12,0.5040655034575265,0.258295293127965,0.3728401002471035,0.3825028719072945,17.07,1.0,Normal,Normal
2024-09-13,0.4943381696577427,0.252878154483383,0.3674761763512356,0.3739101024411905,16.56,1.0,Normal,Normal
2024-09-16,0.4656860354506176,0.22751632220297,0.3652397816846893,0.346455383530426,17.14,1.0,Normal,Normal
2024-09-17,0.4282755185849342,0.199540769521554,0.3645111868043732,0.3063322449943842,17.61,1.0,Normal,Normal
2024-09-18,0.4241344574052237,0.1926066276843607,0.3641849124963333,0.3055488946208977,18.23,1.0,Normal,Normal
2024-09-19,0.4314912337567642,0.1859718286997122,0.3752234788597687,0.3147052061275804,16.33,1.0,Normal,Normal
2024-09-20,0.4003394023983204,0.1611079032221235,0.374554828374889,0.2759136110816652,16.15,0.0,Low,Normal
2024-09-23,0.4000472337190947,0.1607388195014218,0.3744848540558441,0.2758089649120326,15.89,0.0,Low,Normal
2024-09-24,0.3986968448900937,0.1575060666217629,0.3711518840500727,0.2763660747496115,15.39,0.0,Low,Low
2024-09-25,0.3928227091689817,0.1555305448979696,0.3708956695577774,0.2683146866497982,15.41,0.0,Low,Low
2024-09-26,0.3926815205005864,0.1563286075683158,0.3704802813860973,0.2682152064143216,15.37,0.0,Low,Low
2024-09-27,0.385026602739822,0.1550263343058011,0.3714434429900263,0.2630846287403534,16.96,0.0,Low,Low
2024-09-30,0.3867642231757973,0.1563284949884618,0.3721036179574608,0.2637902632209279,16.73,0.0,Low,Low
2024-10-01,0.3909193138208783,0.1578267528883714,0.3757272334868123,0.2692283293864868,19.26,0.0,Low,Low
2024-10-02,0.392745879222467,0.1586407896155683,0.3766426297697665,0.2688534954720001,18.9,0.0,Low,Low
2024-10-03,0.3933169716641301,0.1593130174187469,0.3773313634154887,0.2681576268323499,20.49,0.0,Low,Low
2024-10-04,0.39080560758965,0.1581537414453597,0.3806223382266753,0.2662646771853983,19.21,0.0,Low,Low
2024-10-07,0.3884433815907047,0.1477409110826697,0.3813053091589495,0.2616035708724086,22.64,0.0,Low,Low
2024-10-08,0.3883614176526979,0.1446483301804466,0.3892642123079075,0.2626850197958736,21.42,0.0,Low,Low
2024-10-09,0.3834886166333182,0.1386202574481727,0.3920958554060006,0.2606341877198113,20.86,0.0,Low,Low
2024-10-10,0.3820388732714994,0.1382697624862111,0.3927879292473086,0.2575803089540333,20.93,0.0,Low,Low
2024-10-11,0.3850085687606907,0.1423730622960572,0.3901827123984423,0.2573341355179781,20.46,0.0,Low,Low
2024-10-14,0.3872555285020619,0.1462668599081465,0.3859108236177823,0.258457649597938,19.7,0.0,Low,Low
2024-10-15,0.3640584228110612,0.1400900270059498,0.3867294595882116,0.2277167668342046,20.64,0.0,Low,Low
2024-10-16,0.3619995328990265,0.1371645421970044,0.3870233145209944,0.2280518944447715,19.58,0.0,Low,Low
2024-10-17,0.3593687238935388,0.1340065352293484,0.3882466235098472,0.2281283288842277,19.11,0.0,Low,Low
2024-10-18,0.3443737180632518,0.1230717033339795,0.3854204245225055,0.1971249275801086,18.03,0.0,Low,Low
2024-10-21,0.3395639509132294,0.1203486034180662,0.3896791494755584,0.1906686323440838,18.37,0.0,Low,Low
2024-10-22,0.3291507947741235,0.120037525321196,0.3936574203136798,0.1861975501852204,18.2,0.0,Low,Low
2024-10-23,0.3268305311568878,0.1162503038760927,0.4082869990207281,0.1908451966984875,19.24,0.0,Low,Low
2024-10-24,0.3420620787199888,0.1593207313478513,0.403768969148569,0.1947594319176772,19.08,0.0,Low,Low
2024-10-25,0.3392565155568328,0.1655891931086842,0.4039995402662331,0.1944145695945683,20.33,0.0,Low,Low
2024-10-28,0.3321328160761597,0.1692179104123504,0.408169404797309,0.1937427760298232,19.8,0.0,Low,Low
2024-10-29,0.3347266876993965,0.1689940002952064,0.412457587031157,0.1973150070789948,19.34,0.0,Low,Low
2024-10-30,0.3426874847852187,0.1732071636358436,0.40603850404905,0.2014244719439178,20.35,0.0,Low,Low
