date,ticker,drawdown
2025-09-26,MSFT,-0.04357249687371367
2025-09-26,NVDA,-0.029519115826955322
2025-09-26,GOOGL,-0.032113757879941085
2025-09-26,AMZN,-0.09204329093618069
2025-09-26,META,-0.0579088907002796
2025-09-26,TSLA,-0.08223230246249502
2025-09-26,AMD,-0.2456239803652639
2025-09-26,NFLX,-0.09597274285840607
2025-09-26,CRM,-0.3342663162932381
2025-09-26,ORCL,-0.1366611095829705
2025-09-26,ADBE,-0.4764879386472409
2025-09-26,AVGO,-0.0932619019674209
2025-09-26,QCOM,-0.23421338261071623
2025-09-26,INTC,-0.3153941188751648
2025-09-26,BTC-USD,-0.11051390799617944
2025-09-26,ETH-USD,-0.1646456825650996
2025-09-26,SOL-USD,-0.20170013503134487
2025-09-29,AAPL,-0.014233806108360891
2025-09-29,MSFT,-0.03770070574036444
2025-09-29,NVDA,-0.009585580913812675
2025-09-29,GOOGL,-0.04188911622916691
2025-09-29,AMZN,-0.08216970829652992
2025-09-29,META,-0.058352109544971276
2025-09-29,TSLA,-0.0763764327413824
2025-09-29,AMD,-0.2366354580235328
2025-09-29,NFLX,-0.09910909397111833
2025-09-29,CRM,-0.32969913042952226
2025-09-29,ORCL,-0.13879319470017037
2025-09-29,ADBE,-0.4778679838208999
2025-09-29,AVGO,-0.11123248136351549
2025-09-29,QCOM,-0.25186446896156545
2025-09-29,INTC,-0.3350644938648841
2025-09-29,BTC-USD,-0.07251001390926293
2025-09-29,ETH-USD,-0.12708808297696061
2025-09-29,SOL-USD,-0.17176338218521103
2025-09-30,AAPL,-0.013458862354086887
2025-09-30,MSFT,-0.031436165358825874
2025-09-30,NVDA,0.0
2025-09-30,GOOGL,-0.04561865928281561
2025-09-30,AMZN,-0.09291080914322059
2025-09-30,META,-0.0697776681572917
2025-09-30,TSLA,-0.07322966115858687
2025-09-30,AMD,-0.23460124160831586
2025-09-30,NFLX,-0.10470228194184172
2025-09-30,CRM,-0.3518510552204476
2025-09-30,ORCL,-0.14342267722581503
2025-09-30,ADBE,-0.4875575598847126
2025-09-30,AVGO,-0.10578437850061839
2025-09-30,QCOM,-0.24706698806378913
2025-09-30,INTC,-0.3529992453682991
2025-09-30,BTC-USD,-0.07530136736415671
2025-09-30,ETH-USD,-0.1418633109244819
2025-09-30,SOL-USD,-0.18851945284188665
